{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;SFH_RENO;MFH_RENO
204;0.000203804;0.000247585;0.000206772;0.000114155;0.022503498;0.85323516;0.916596462;0.355509021;0.035181525;0.554615474;0.494384608
205;0.000196194;0.00023263;0.000187974;0.000114155;0.032456754;0.861393217;0.917312553;0.355480389;0.05564015;0.521125544;0.471305774
206;0.000198308;0.00022266;0.000190324;0.000114155;0.03933118;0.850849881;0.914525414;0.355480389;0.077886087;0.518627868;0.473186309
207;0.000193312;0.000220999;0.000213821;0.000114155;0.047584263;0.837700778;0.922451559;0.355480389;0.117230321;0.512124922;0.450507136
208;0.000194926;0.000230968;0.00022322;0.000114155;0.017768221;0.841297628;0.928605027;0.355480389;0.07071752;0.523060584;0.458332331
209;0.000195618;0.000247585;0.00022322;0.000114155;0.000735627;0.866431034;0.905216231;0.355451758;0;0.54647086;0.481267939
210;0.000221559;0.000250908;0.000164478;0.000114155;0;0.863141531;0.604286015;0.355451758;0;0.57926483;0.472132186
211;0.000223404;0.000254231;0.000117484;0.000114155;0;0.884762719;0.418590284;0.355451758;0;0.634508178;0.467861265
212;0.000205918;0.000257555;8.81E-05;0.000114155;0;0.905408415;0.418590284;0.355451758;0;0.609384291;0.491632139
213;0.000181975;0.000260878;5.87E-05;0.000114155;0;0.90270688;0.418590284;0.35543267;0;0.626387803;0.50420277
214;0.000158185;0.000264201;3.76E-05;0.000114155;0;0.877168132;0.418590284;0.35543267;0;0.620916527;0.517970692
215;0.000165257;0.000269186;2.35E-05;0.000114155;0;0.86443996;0.454882758;0.35543267;0;0.62882824;0.532519986
216;0.000159799;0.000272509;9.40E-06;0.000114155;0;0.884272746;0.766677197;0.35543267;0;0.591981746;0.535191294
